編號,語別,詞語,語源,義項,詞類,等級,翻譯,分類,近義詞,反義詞,相關詞,附註
802623,27,boboto,PAN25622,3270216,,S,松鼠,07動物(含昆蟲),,,,
802624,27,bokolo,,3270159,,U,手肘,06身體部位,,,,
802625,27,boo,PAN25775,3270515,,I,弓,16狩獵,,,806670,
802626,27,borarase,,3270605,,S,黃色,22顏色,,,,
802627,27,borasi,,3270307,,B,地瓜；甘藷,08植物,,,,
802628,27,botolo,,3270595,,S,豬肉,21食物(非植物),,,,
802726,27,bwate,,3270145,,I,肉,06身體部位,,,,
802795,27,caki,PAN25871,3270852,,S,大便,30生活作息,,,,
802814,27,calraviya,,3270440,,I,屋頂,12建築,,,,
802821,27,calringa,PAN25874,3270131,,B,耳朵,06身體部位,,,,
802843,27,caobo,,3270340,,U,棉被,09物品(不含食品),,,,
802879,27,cayli,PAN29898,3270481,,B,年；歲,13時間,,,,
802884,27,cebecebe,,3270650,,I,(植物)生長,25行動,,,,
802896,27,ceele,,3270806,,B,看,28認知感官,,,,
802896,27,ceele,,3270829,,U,觀察,28認知感官,,,,
802897,27,ce’era,,3270598,,S,在來米,21食物(非植物),,,,
802913,27,cekele,,3270615,,B,部落,24抽象名詞,,,,
802925,27,celra,,3270696,,S,折斷,26肢體動作,,,,
802963,27,ciboko,,3270734,,S,攪動,26肢體動作,,,,
802972,27,cicigiya,,3270768,,I,側臥,26肢體動作,,,,
802991,27,ciki’i,,3271014,,U,摺疊,34其他,,,,
803005,27,cilrake,,3270155,,S,男性生殖器,06身體部位,,,801975,
803006,27,cilri,,3271032,,S,丟棄,34其他,,,,
803089,27,coboso,PAN25894,3270256,,I,甘蔗,08植物,,,,
803090,27,colo,,3270851,,I,殺牲畜,30生活作息,,,,
803091,27,colrolo,,3270689,,S,刺,26肢體動作,,,,
803092,27,comay,PAN29900,3270209,,I,熊,07動物(含昆蟲),,,,
803093,27,cosa,,3270979,,S,故意,32特徵,,,,
803184,27,daane,,3270435,,B,家,12建築,,,,
803200,27,dadavace,,3270638,,B,走路,25行動,,,,
803200,27,dadavace,,3270662,,U,逛一逛,25行動,,,,
803209,27,dae,PAN25970,3270385,,I,泥土,10山川地理,,,,
803210,27,daedae,803209,3270489,,I,下面,14空間,,802468,,
803216,27,daikong,JPN13,3270589,,U,白蘿蔔,21食物(非植物),810541,,,
803221,27,daki’i,,3271019,,S,(有東西)附著,34其他,,,,
803223,27,dako’alre,,3270181,,S,腳掌,06身體部位,,,,
803238,27,dalramiya,,3270514,,U,稻草,15農耕,,,,
803243,27,dalrili,,3270358,,U,瓶子,09物品(不含食品),,,,
803253,27,dameke,,3270688,,S,打(人),26肢體動作,,,,
803277,27,dare’e,,3271040,,I,製作(物品),34其他,,,,
803287,27,davace,,3270639,,U,走(離開),25行動,,,,
803295,27,dawlo,,3270812,,U,邀請,28認知感官,,,,
803305,27,dayli,PAN29952,3270963,,S,遠,32特徵,,803326,,
803326,27,deethe,,3270959,,S,近,32特徵,,803305,,
803328,27,dekele,,3270180,,S,臀部,06身體部位,,,,
803402,27,dingding,,3270237,,U,蝸牛,07動物(含昆蟲),,,,
803407,27,dingki,JPN15,3270335,,U,電燈,09物品(不含食品),,,,
803427,27,direrele,,3270603,,B,紅色,22顏色,,,,
803429,27,dola,,3270162,,I,傷口,06身體部位,,,,
803430,27,domolo,,3270731,,S,堆積,26肢體動作,,,,
803431,27,domolo dae,,3270392,,S,土堆,10山川地理,,,,
803432,27,dona’isi,,3270761,,S,壓扁,26肢體動作,,,,
803433,27,dorase,,3270531,,S,祖靈祭,17宗教,,,,
803434,27,doray,,3270591,,S,糯米,21食物(非植物),,,,
803435,27,dra’ale,PAN30010,3270141,,B,腳,06身體部位,,,,
803445,27,drakale,,3271036,,S,設置,34其他,,,,
803447,27,drakerale,,3270386,,I,河流,10山川地理,,,,
803456,27,dralray,,3270682,,I,傳統舞（圍舞）,26肢體動作,,,,
803457,27,dralreke,,3270887,,U,掩埋,30生活作息,,,,
803463,27,dramare,PAN30618,3270404,,B,月亮,11自然景觀,,,,
803468,27,drangedrang,PAN30173,3271003,,B,炎熱,32特徵,,,,
803470,27,dra’olro,,3270166,,U,甲狀腺腫,06身體部位,,,,
803486,27,draydray,,3270176,,I,汗水,06身體部位,,,,
803497,27,dre’ete,,3270725,,S,按住,26肢體動作,,,,
803497,27,dre’ete,,3270735,,S,壓住,26肢體動作,,,,
803497,27,dre’ete,,3270756,,U,壓制,26肢體動作,,,,
803509,27,drelre,,3270313,,B,電話,09物品(不含食品),,,,
803510,27,drelreke,,3270152,,I,背部,06身體部位,,,,
803516,27,dreredrere,PAN26002,3270411,,I,雷,11自然景觀,,,,
803528,27,drilra,PAN30254,3270823,,S,舔,28認知感官,,,,
803529,27,drilreleme,,3270417,,S,陰天,11自然景觀,,,,
803536,27,dringelrese,,3270991,,U,直,32特徵,,,,
803542,27,drisisi,,3270763,,S,擦(如口紅；油漆),26肢體動作,,,,
803546,27,dromolo,,3270693,,I,推,26肢體動作,,,,
803547,27,drosa,PAN30558,3270002,數,B,二,01數字計量,,,,
803647,27,ebelre,PAN27711,3270414,,S,煙,11自然景觀,,,,
803648,27,eca,PAN27712,3270599,,S,米糠,21食物(非植物),,,,
803659,27,ede,,3270184,,U,腎臟,06身體部位,,,,
803672,27,edreka,,3271002,,U,短,32特徵,,807620,,
803679,27,eea,,3270001,數,B,一,01數字計量,,,,在 anivale「一次」，eea 前方插入 v；在 mangeale「十」及 tangea「一(個人)」，則前方插入 ng。
803680,27,eea ka iday,,3270035,數,U,一百,01數字計量,,,,
803683,27,eene,,3270617,,B,是的,24抽象名詞,,,,
803683,27,eene,,3271061,,U,好的(沒問題),36助詞或其他,807621#3271061,,,
803684,27,"eene, si...",,3271087,,U,雖然,36助詞或其他,,,,
803692,27,’ekake,,3270840,,S,嚇一跳,29情緒思維,,,,
803694,27,’elaela,,3270814,,S,告訴(別人),28認知感官,,,,
803699,27,eleba,,3270629,,S,關上,25行動,,,,
803702,27,elebe,PAN27735,3270673,,B,關(門；窗),25行動,,,,
803722,27,emeeme,,3270413,,B,雲,11自然景觀,,,,
803726,27,’emi,JPN79,3270297,,U,梅子,08植物,,,,
803730,27,enay,PAN27733,3270384,,U,沙子,10山川地理,,,,
803731,27,eneme,PAN26107,3270006,數,B,六,01數字計量,,,,
803739,27,eray,,3270144,,I,血,06身體部位,,,,
803756,27,etay,,3270363,,I,濾酒渣網,09物品(不含食品),,,,
803762,27,evege,,3270718,,S,綁住,26肢體動作,,,,
803762,27,evege,,3270724,,I,捆綁,26肢體動作,,,,
803764,27,gacegace,PAN33892,3270698,,I,抓癢,26肢體動作,,,,
803764,27,gacegace,PAN33892,3270736,,S,搔癢,26肢體動作,,,,
803765,27,gacivalre,,3270759,,U,撬開,26肢體動作,,,,
803766,27,gaciyo,JPN19,3270242,,S,鵝,07動物(含昆蟲),,,,
803788,27,galrawgaw,,3270174,,I,手指,06身體部位,,,,
803796,27,galrolagola,,3270677,,B,爬行,25行動,,,,
803800,27,gamay,,3270137,,B,指甲,06身體部位,,,,
803817,27,garoco,PAN30820,3270364,,I,梳子,09物品(不含食品),,,,
803846,27,gelrabe,,3270895,,U,燃燒,30生活作息,,,,
803848,27,gelregelre,,3270754,,I,割,26肢體動作,,,,
803853,27,gemegeme,PAN30447,3270723,,I,握著,26肢體動作,,,,
803853,27,gemegeme,PAN30447,3270737,,U,握拳,26肢體動作,,,,
803894,27,giritimi,,3270330,,S,剪刀,09物品(不含食品),,,,
803894,27,giritimi,,3270771,,U,剪,26肢體動作,,,,
803901,27,golrogolro,,3270884,,S,剪(男性頭髮),30生活作息,,,,
803902,27,gomagomo,,3270765,,U,揉搓(衣物),26肢體動作,,,,
803903,27,goong,,3270196,,B,牛,07動物(含昆蟲),,,,
803959,27,habetare,,3270217,,S,田鼠,07動物(含昆蟲),,,,
803960,27,habohabowa,,3270607,,U,灰色,22顏色,,,,
803964,27,hamesere,,3270990,,U,酸臭,32特徵,,,,
803967,27,hasele,,3270562,,S,袖子,18織布服飾,,,,
803972,27,hilriyo,JPN22,3270511,,U,肥料,15農耕,,,,
803973,27,hiring,,3270987,,U,(傾)斜,32特徵,,,,
803974,27,hoso,JPN25,3270371,,S,水管,09物品(不含食品),,,,
803990,27,’icecelreng,PAN29943,3270602,,B,黑色,22顏色,,,,
804005,27,iday,,3270034,數,S,百,01數字計量,,,,
804010,27,idiri,,3270516,,I,矛,16狩獵,,,,
804011,27,idiya,PAN30364,3270785,,B,起立,26肢體動作,,,,
804030,27,’igisi,,3270820,,U,觸碰(如碰觸到身體),28認知感官,,,,
804039,27,ikidri,,3270153,,I,皮,06身體部位,,,,
804040,27,ila,,3270564,,U,頭揹帶(背籃用),18織布服飾,,,,
804042,27,’ilaka,,3270266,,U,樹枝,08植物,,,,
804046,27,ililing,,3270391,,S,山腳下,10山川地理,,,,
804051,27,iloko,,3270647,,I,帶,25行動,,,,
804053,27,ilrang,,3270871,,U,碾(米),30生活作息,,,,
804062,27,’ilri,,3270727,,I,挑選,26肢體動作,,,,
804077,27,imay,,3270561,,U,男用遮布；掛肩,18織布服飾,,,,
804081,27,ina,,3271091,,B,屬格標記(各族用語),36助詞或其他,,,,
804084,27,inamay,,3270324,,I,針,09物品(不含食品),,,,
804084,27,inamay,,3270544,,U,編網針,18織布服飾,,,,
804086,27,’incai,NAN11,3270285,,U,空心菜,08植物,,,,
804098,27,iniya,,3271077,,U,是嗎(語助詞),36助詞或其他,,,,
804099,27,iniyana,,3271078,,U,還(尚未),36助詞或其他,,,,
804100,27,ino,,3270072,,B,哪裡,03疑問詞,,,,
804101,27,’inolri,JPN28,3270831,,B,禱告,28認知感官,,,,
804103,27,’inpici,JPN16,3270314,,B,筆,09物品(不含食品),,,,
804139,27,’ising,,3270115,,B,醫生,05人物、身分,,,,
804142,27,’isiyo,,3270143,,U,頭髮,06身體部位,,,,
804156,27,’ito,PAN30723,3270007,數,B,七,01數字計量,,,,
804166,27,’iya,PAN30605,3270066,,I,多少,03疑問詞,,,,
804166,27,’iya,PAN30605,3270075,,B,多少(歲),03疑問詞,,,,
804171,27,’iyanga,,3270075,,B,多少(歲),03疑問詞,,,,
804175,27,ka,,3271089,,B,主格標記(各族用語),36助詞或其他,805832,,,
804182,27,ka’alonga,,3270356,,U,弧形(底)鍋,09物品(不含食品),,,,
804185,27,kaang,PAN28224,3270193,,B,魚,07動物(含昆蟲),,,,
804230,27,kabociaciaka,,3270466,,S,半夜,13時間,,,,
804231,27,kabociyaka,,3270490,,S,中間,14空間,,,,
804244,27,kac,PAN30494,3270790,,I,咬,27飲食,,,,
804281,27,kacingi,,3270541,,U,男用半片褲,18織布服飾,,,,
804300,27,kadadavaka,,3270968,,U,毒,32特徵,,,,
804315,27,kadalame,,3270833,,U,喜愛,29情緒思維,,,,
804352,27,kado,,3270883,,I,照顧,30生活作息,,,,
804372,27,kadray,,3270560,,I,男用背負網袋,18織布服飾,,,,
804384,27,kadroa,,3271050,,B,沒有,34其他,,,,
804385,27,kadrokalalekete,,3271053,,B,不可以,35否定詞,,,,
804386,27,kadrokiyatoma,,3271051,,I,沒關係,34其他,,,,
804387,27,kadrokiyomaw,,3271052,,B,不要,35否定詞,,,,
804388,27,kadromikai,,3271072,,U,不該,36助詞或其他,,,,
804389,27,kadromiyakaikai,,3271071,,U,從不,36助詞或其他,,,,
804390,27,kadrothingale,,3271057,,B,不知道,35否定詞,,,,
804391,27,kadrowa,,3271055,,B,沒有(表擁有的否定詞),35否定詞,,,,
804392,27,kadrowana malreme,,3270973,,U,未成熟的(果實),32特徵,,,,
804420,27,kaelrea,,3270380,,I,道路,10山川地理,,,,
804448,27,kai,,3271056,,B,不要(祈使句用),35否定詞,805240#3271056,,,
804464,27,ka’iliya,,3270300,,U,咬人貓,08植物,,,,
804472,27,kaingo,,3270084,,B,女性長輩(祖母；外婆),04親屬稱謂,,,,
804477,27,kaivai,,3270062,,B,這個,02代名詞、指示詞,,,,
804478,27,kaivaiyana,,3270458,,B,今天,13時間,,,,
804481,27,kaiyasa,,3270483,,B,現在,13時間,,,,
804481,27,kaiyasa,,3271059,,B,正在...,36助詞或其他,,,,
804526,27,kakerenga,,3270365,,S,肩帶(裝飾),09物品(不含食品),,,,
804527,27,kaki ’inga,,3270553,,U,傳統女上衣,18織布服飾,,,,
804540,27,kakoza,,3270621,,S,文化,24抽象名詞,,,,
804575,27,kaladraidraza,803486,3270410,,B,夏天,11自然景觀,,,,
804581,27,kalaea’a,,3270532,,S,播種祭,17宗教,,,,
804590,27,kalakecelra,,3270409,,B,冬天,11自然景觀,,,,
804592,27,kalakekecelra,,3270428,,B,秋天,11自然景觀,,,,
804595,27,kalalekete,,3271009,,U,能夠,33助動詞,,,,
804595,27,kalalekete,,3271093,,B,可以(做某事),36助詞或其他,,,,
804618,27,kalariyariga,,3270426,,B,春天,11自然景觀,,,,
804742,27,kalrivathale,,3270543,,S,女用頭飾,18織布服飾,,,,
804782,27,kameameala,,3270416,,I,旱田,11自然景觀,,,,
804795,27,kamoraw,,3270303,,S,柚子,08植物,,,,
804805,27,kanahoving,,3270395,,U,溫泉,10山川地理,,,,
804813,27,kane,,3270786,,B,吃,27飲食,,,,
804813,27,kane,,3270800,,B,吃(東西),27飲食,,,,
804837,27,kangkang,,3270502,,I,犁田,15農耕,,,,
804837,27,kangkang,,3270510,,S,開墾,15農耕,,,,
804877,27,karadare,,3270567,,I,女用揹網袋,19傳統文化與習俗,,,,
804880,27,karadrare,,3270379,,B,簍子,09物品(不含食品),,,,
804880,27,karadrare,,3270525,,I,中籃子,16狩獵,,,,
804900,27,karara,,3270200,,S,穿山甲,07動物(含昆蟲),,,,
804926,27,karidrang,,3270302,,U,樹豆,08植物,,,,
804931,27,karilay,,3270927,,U,瘦(身形),32特徵,,807016,,
805019,27,katha,,3271067,,S,只有,36助詞或其他,,,,
805019,27,katha,,3271086,,U,僅僅,36助詞或其他,,,,
805092,27,kawai,,3270064,,B,那裡,02代名詞、指示詞,,805431,,
805099,27,kawlai,,3270966,,U,久的,32特徵,,,,
805112,27,kawriva,,3270807,,B,說,28認知感官,,,,
805154,27,kece,JPN37,3270555,,U,鞋子,18織布服飾,,,,
805191,27,kela,,3270636,,B,來,25行動,,,,
805196,27,kelanga,,3270675,,B,來過,25行動,,,,
805203,27,kelraiya,,3270896,,U,懸掛(祈使),30生活作息,,,,
805207,27,kelray,,3270685,,S,掛,26肢體動作,,,,
805216,27,kensase,,3270120,,U,警察,05人物、身分,,,,
805239,27,ketekete,PAN30247,3270710,,I,切,26肢體動作,,,,
805240,27,ki,,3270738,,S,摘取,26肢體動作,,,,
805240,27,ki,,3270744,,S,採收,26肢體動作,,,,
805240,27,ki,,3271056,,B,不要(祈使句用),35否定詞,804448,,,
805240,27,ki,,3271090,,B,受格標記(各族用語),36助詞或其他,,,,
805263,27,kiadringai,,3271041,,S,找到,34其他,,,,
805267,27,ki’aete,,3270818,,I,相信,28認知感官,,,,
805279,27,ki’alang ki bazabaza,,3270923,,U,嫁給非本族群的族人,31生老病死傷,,,,
805362,27,kibay,,3270658,,S,向人家要(東西),25行動,,,,
805372,27,kicakowa,,3270856,,I,學習,30生活作息,,,,
805401,27,kidreseng,,3270656,,U,接(人),25行動,,,,
805404,27,kidring,,3270359,,S,湯匙,09物品(不含食品),,,,
805420,27,ki’elaela,,3270816,,I,詢問,28認知感官,,,,
805426,27,ki’ing,,3270536,,B,衣服,18織布服飾,,,,
805431,27,kikai,,3270063,,B,這裡,02代名詞、指示詞,,805092,,
